,num,date_time,kWH,C,m/s,wet,mm,hr,non_electric_aircondition,sunlight,time_idx,energy_group,Week,24Hour,holiday,Weekend
8160,5,2020-06-01 00:00:00,3063.744,18.3,2.5,94.0,0.0,0.0,1,0,0,5,1,0,0,0
8161,5,2020-06-01 01:00:00,3147.12,18.8,2.3,89.0,0.0,0.0,1,0,1,5,1,1,0,0
8162,5,2020-06-01 02:00:00,3098.736,19.0,3.2,86.0,0.0,0.0,1,0,2,5,1,2,0,0
8163,5,2020-06-01 03:00:00,3047.76,19.0,4.1,85.0,0.0,0.0,1,0,3,5,1,3,0,0
8164,5,2020-06-01 04:00:00,3111.696,18.9,3.9,87.0,0.0,0.0,1,0,4,5,1,4,0,0
8165,5,2020-06-01 05:00:00,2730.24,18.8,3.3,89.0,0.0,0.0,1,0,5,5,1,5,0,0
8166,5,2020-06-01 06:00:00,2541.456,18.6,2.4,91.0,0.0,0.0,1,0,6,5,1,6,0,0
8167,5,2020-06-01 07:00:00,2275.344,19.2,5.2,87.0,0.0,0.0,1,0,7,5,1,7,0,0
8168,5,2020-06-01 08:00:00,2644.704,20.6,2.5,81.0,0.0,0.0,1,0,8,5,1,8,0,0
8169,5,2020-06-01 09:00:00,2823.552,22.7,2.6,72.0,0.0,0.7,1,0,9,5,1,9,0,0
8170,5,2020-06-01 10:00:00,3219.696,24.4,1.8,69.0,0.0,1.0,1,0,10,5,1,10,0,0
8171,5,2020-06-01 11:00:00,3305.232,24.4,3.2,69.0,0.0,1.0,1,0,11,5,1,11,0,0
8172,5,2020-06-01 12:00:00,2927.232,23.0,3.4,76.0,0.0,1.0,1,0,12,5,1,12,0,0
8173,5,2020-06-01 13:00:00,2874.528,23.4,4.7,73.0,0.0,1.0,1,0,13,5,1,13,0,0
8174,5,2020-06-01 14:00:00,3085.344,24.8,5.8,64.0,0.0,1.0,1,0,14,5,1,14,0,0
8175,5,2020-06-01 15:00:00,3210.6240000000007,25.0,6.6,64.0,0.0,1.0,1,0,15,5,1,15,0,0
8176,5,2020-06-01 16:00:00,3139.776,24.8,6.7,65.0,0.0,1.0,1,0,16,5,1,16,0,0
8177,5,2020-06-01 17:00:00,3138.9120000000007,24.8,6.1,60.0,0.0,1.0,1,0,17,5,1,17,0,0
8178,5,2020-06-01 18:00:00,2898.72,24.0,4.1,62.0,0.0,1.0,1,0,18,5,1,18,0,0
8179,5,2020-06-01 19:00:00,3353.184,24.2,4.7,55.0,0.0,0.9,1,0,19,5,1,19,0,0
8180,5,2020-06-01 20:00:00,3691.44,23.0,1.3,56.0,0.0,0.0,1,0,20,5,1,20,0,0
8181,5,2020-06-01 21:00:00,3558.384,22.9,2.2,43.0,0.0,0.0,1,0,21,5,1,21,0,0
8182,5,2020-06-01 22:00:00,3455.568,22.2,2.2,44.0,0.0,0.0,1,0,22,5,1,22,0,0
8183,5,2020-06-01 23:00:00,3252.0959999999995,21.3,1.7,41.0,0.0,0.0,1,0,23,5,1,23,0,0
8184,5,2020-06-02 00:00:00,3231.36,21.1,2.3,42.0,0.0,0.0,1,0,24,5,2,0,0,0
8185,5,2020-06-02 01:00:00,3170.448,20.8,4.0,42.0,0.0,0.0,1,0,25,5,2,1,0,0
8186,5,2020-06-02 02:00:00,3041.712,20.2,2.4,43.0,0.0,0.0,1,0,26,5,2,2,0,0
8187,5,2020-06-02 03:00:00,3117.744,19.5,1.5,42.0,0.0,0.0,1,0,27,5,2,3,0,0
8188,5,2020-06-02 04:00:00,3090.528,19.3,3.0,41.0,0.0,0.0,1,0,28,5,2,4,0,0
8189,5,2020-06-02 05:00:00,2468.448,18.5,0.6,41.0,0.0,0.0,1,0,29,5,2,5,0,0
8190,5,2020-06-02 06:00:00,2347.92,18.1,0.7,47.0,0.0,0.0,1,0,30,5,2,6,0,0
